,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
3,1995-11-01,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",4554.455445544554,0,505,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.3,2.3,4554,4554.455445544554,6453166,4774381,ASP,KTST,尖沙咀,1963/06,1963,63,D,7.0,blank,blank,blank,,False
6,1995-11-01,"HONG YUEN COURT(Block B),TAK SHING ST|康源閣B座,德成街",5080.213903743315,675,561,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.85,2.85,5080,5080.213903743315,6457167,4774783,ASP,KTST,尖沙咀,1980/05,1980,46,3,3.0,B,blank,HONG YUEN COURT,康源閣,False
7,1995-11-01,"FORTUNE TERR(Block A),TAK SHING ST|富裕臺A座,德成街",5000.0,710,616,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.08,3.08,5000,5000.0,6458724,4776574,ASP,KTST,尖沙咀,1978/09,1978,48,7,9.0,A,blank,FORTUNE TERR,富裕臺,False
11,1995-11-01,"WAI ON BLDG,AUSTIN RD|偉安大廈,柯士甸道",4141.104294478528,0,326,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,4141,4141.104294478528,6462074,4776173,ASP,KTST,尖沙咀,1963/06,1963,63,whole floor,14.0,blank,blank,blank,,False
12,1995-11-01,"TIN MAN COURT,KIMBERLEY ST|天文閣,金巴利街",5351.170568561873,0,598,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.2,3.2,5351,5351.170568561873,6462712,4776141,ASP,KTST,尖沙咀,1977/06,1977,49,D,15.0,blank,blank,blank,,False
14,1995-11-01,"CARSON MANSION,KIMBERLEY RD|嘉新大廈,金巴利道",6234.256926952141,0,794,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.95,4.95,6234,6234.256926952141,6463861,4775762,ASP,KTST,尖沙咀,1978/06,1978,48,B,4.0,blank,blank,blank,,False
15,1995-11-01,"HONG YUEN COURT(Block B),TAK SHING ST|康源閣B座,德成街",5169.34046345811,675,561,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.9,2.9,5169,5169.34046345811,6464116,4776721,ASP,KTST,尖沙咀,1980/05,1980,46,3,14.0,B,blank,HONG YUEN COURT,康源閣,False
17,1995-11-01,"TSIMSHATSUI MANSION,NATHAN RD|華源大廈,彌敦道",3548.3870967741937,0,310,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.1,1.1,3548,3548.3870967741937,6464370,4777539,ASP,KTST,尖沙咀,1961/04,1961,65,C1,15.0,blank,blank,blank,,False
19,1995-11-01,"HANKOW CTR(Block B),PEKING RD|漢口中心B座,北京道",5490.196078431372,0,765,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.2,4.2,5490,5490.196078431372,6464774,4776665,ASP,KTST,尖沙咀,1968/02,1968,58,4,11.0,B,blank,HANKOW CTR,漢口中心,False
20,1995-11-01,"QUALITY TOWER,HILLWOOD RD|廣利樓,山林道",5584.905660377359,366,265,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.48,1.48,5585,5584.905660377359,6464860,4776074,ASP,KTST,尖沙咀,1986/09,1986,40,B,8.0,blank,blank,blank,,False
21,1995-11-01,"HONG SHUN BLDG,WOOSUNG ST|康信大廈,吳松街",4090.909090909091,615,440,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,4091,4090.909090909091,6464870,4775914,ASP,KTST,尖沙咀,1976/08,1976,50,A,8.0,blank,blank,blank,,False
27,1995-11-01,"CHONG TAK HSE,AUSTIN RD|創德樓,柯士甸道",3775.5102040816328,0,490,"{'bay_window': '', 'flat_roof': '264', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.85,1.85,3776,3775.5102040816328,6466625,4777866,ASP,KTST,尖沙咀,1977/02,1977,49,B,4.0,blank,blank,blank,,False
29,1995-11-01,"CARNIVAL MANSION,AUSTIN AVE|嘉華大廈,柯士甸路",3209.4594594594596,0,296,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.95,0.95,3209,3209.4594594594596,6466901,4777846,ASP,KTST,尖沙咀,1958/12,1958,68,D,9.0,blank,blank,blank,,False
30,1995-11-01,"PRAT MANSION,PRAT AVE|華寶大廈,寶勒巷",4084.158415841584,499,404,"{'bay_window': '', 'flat_roof': '439', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.65,1.65,4084,4084.158415841584,6467047,4778185,ASP,KTST,尖沙咀,1977/06,1977,49,B1,2.0,blank,blank,blank,,False
31,1995-11-01,"IMPERIAL BLDG,CANTON RD|帝國大廈,廣東道",4222.222222222223,0,405,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.71,1.71,4222,4222.222222222223,6467418,4778012,ASP,KTST,尖沙咀,1973/07,1973,53,C,7.0,blank,blank,blank,,False
32,1995-11-01,"UNION MANSION,CHATHAM RD S|友聯大廈,漆咸道南",3496.85534591195,0,795,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.78,2.78,3497,3496.85534591195,6468275,4778269,ASP,KTST,尖沙咀,1966/06,1966,60,C,16.0,blank,blank,blank,,False
33,1995-11-01,"YIU PONT HSE,KNUTSFORD TERR|耀邦大廈,諾士佛臺",5143.540669856459,540,418,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.15,2.15,5144,5143.540669856459,6468366,4778364,ASP,KTST,尖沙咀,1980/05,1980,46,B,12.0,blank,blank,blank,,False
36,1995-11-01,"SOUTH SEA APT,CHATHAM RD S|南海大廈,漆咸道南",3883.720930232558,0,602,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.338,2.338,3884,3883.720930232558,6470173,4778225,ASP,KTST,尖沙咀,1963/06,1963,63,E,3.0,blank,blank,blank,,False
38,1995-11-01,"HANG LUNG BANK TST BRANCH BLDG,GRANVILLE RD|恒隆銀行尖沙咀分行,加連威老道",4575.0,540,400,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.83,1.83,4575,4575.0,6472401,4780767,ASP,KTST,尖沙咀,1978/09,1978,48,A,10.0,blank,blank,blank,,False
39,1995-11-01,"OCEAN VIEW COURT,MODY RD|海景大廈,麼地道",3104.4776119402986,0,670,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.08,2.08,3104,3104.4776119402986,6473057,4780808,ASP,KTST,尖沙咀,1959/00,1959,67,R.P.,9.0,blank,blank,blank,,False
41,1995-11-01,"KIMBERLEY MANSION,AUSTIN AVE|金巴利大廈,柯士甸路",3259.259259259259,0,675,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.2,2.2,3259,3259.259259259259,6473189,4780841,ASP,KTST,尖沙咀,1960/06,1960,66,H,6.0,blank,blank,blank,,False
44,1995-11-01,"MANLEY HSE,CANTON RD|文利大廈,廣東道",5250.737463126844,430,339,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.78,1.78,5251,5250.737463126844,6474059,4781594,ASP,KTST,尖沙咀,1978/01,1978,48,D,9.0,blank,blank,blank,,False
48,1995-11-01,"YAN CHI BLDG,TEMPLE ST|恩賜大廈,廟街",5185.185185185185,384,270,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.4,1.4,5185,5185.185185185185,6475684,4782112,ASP,KTST,尖沙咀,1984/04,1984,42,A,7.0,blank,blank,blank,,False
50,1995-11-01,"CARNARVON MANSION,CARNARVON RD|嘉芬大廈,加拿分道",4415.841584158416,0,505,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.23,2.23,4416,4415.841584158416,6476040,4782187,ASP,KTST,尖沙咀,1960/06,1960,66,A2,7.0,blank,blank,blank,,False
53,1995-11-01,"KAM PO BLDG,PARKES ST|金寶樓,白加士街",4367.541766109785,538,419,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.83,1.83,4368,4367.541766109785,6478094,4789207,ASP,KTST,尖沙咀,1975/12,1975,51,C,13.0,blank,blank,blank,,False
54,1995-11-01,"KAM CHUNG BLDG,WOOSUNG ST|金淞大廈,吳松街",4153.846153846154,484,325,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,4154,4153.846153846154,6478239,4789243,ASP,KTST,尖沙咀,1977/06,1977,49,A,12.0,blank,blank,blank,,False
57,1995-11-01,"HILLWOOD MANSION,HILLWOOD RD|協和大廈,山林道",5802.469135802469,0,405,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.35,2.35,5802,5802.469135802469,6478675,4789343,ASP,KTST,尖沙咀,1978/09,1978,48,A,7.0,blank,blank,blank,,False
58,1995-12-01,"KAM PO BLDG,PARKES ST|金寶樓,白加士街",4503.105590062112,462,322,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.45,1.45,4503,4503.105590062112,6479947,4789605,ASP,KTST,尖沙咀,1975/12,1975,51,A,9.0,blank,blank,blank,,False
