,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4347.079037800688,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.53,2.53,4347.0,4347.079037800688,6446155.0,4773504.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,F,22.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
1,1995-11-01,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4942.528735632184,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.15,2.15,4943.0,4942.528735632184,6455837.0,4774553.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,A,23.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
2,1995-11-01,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4089.347079037801,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.38,2.38,4089.0,4089.347079037801,6457170.0,4774554.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,C,12.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
3,1995-11-01,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4252.873563218391,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.85,1.85,4253.0,4252.873563218391,6478158.0,4789224.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,H,18.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
4,1995-11-01,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4942.528735632184,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.15,2.15,4943.0,4942.528735632184,6478182.0,4789233.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,H,19.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
5,1995-12-05,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4432.98969072165,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.58,2.58,4433.0,4432.98969072165,6481489.0,4782897.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,F,18.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
6,1995-12-06,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4551.724137931034,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.98,1.98,4552.0,4551.724137931034,6490878.0,4788383.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,E,21.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
7,1995-12-18,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4432.98969072165,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.58,2.58,4433.0,4432.98969072165,6493578.0,4785752.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,G,10.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
8,1995-12-29,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4505.747126436781,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.96,1.96,4506.0,4505.747126436781,6499698.0,4785851.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,D,24.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
9,1996-01-31,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4593.103448275862,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.998,1.998,4593.0,4593.103448275862,6527709.0,4797609.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,H,6.0,4,blank,CHI FU FA YUEN,置富花園,False,POINT Z (22.256075 114.138749 0),22.256075,114.138749
