,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
4,1995-11-01,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",8934.59687123947,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",15.8,14.8493,9507.0,8934.59687123947,6463895.0,4777027.0,ASP,HP,山頂,1990/11,1990.0,35.0,1,27.0,B,blank,NICHOLSON TOWER,蔚豪苑,True
5,1995-11-01,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",7916.726835138387,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.0,13.1576,8424.0,7916.726835138387,6464616.0,4777028.0,ASP,HP,山頂,1990/11,1990.0,35.0,1,22.0,A,blank,NICHOLSON TOWER,蔚豪苑,True
7,1995-11-01,"EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道",5787.149122807017,2547.0,2280.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",13.8,13.1947,6053.0,5787.149122807017,6468301.0,4778636.0,ASP,HP,山頂,1972/03,1972.0,53.0,1,9.0,C,blank,EVERGREEN VILLA,松柏新村,True
8,1995-11-01,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道",5551.356589147287,0.0,2580.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.9,14.3225,5775.0,5551.356589147287,6471752.0,4780601.0,ASP,HP,山頂,1965/04,1965.0,60.0,1,15.0,A,blank,VILLA MONTE ROSA,玫瑰新村,True
9,1995-12-01,"CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道",5064.481481481482,0.0,2700.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.2,13.6741,5259.0,5064.481481481482,6474561.0,4781686.0,ASP,HP,山頂,1970/06,1970.0,55.0,4,2.0,B,blank,CAROLINA GARDENS,嘉樂園,True
12,1995-12-02,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",5474.201680672269,2600.0,2380.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",13.6,13.0286,5714.0,5474.201680672269,6483649.0,4782963.0,ASP,HP,山頂,1970/11,1970.0,55.0,1,16.0,B,blank,EVERGREEN VILLA,松柏新村,True
13,1995-12-18,"VILLA MONTE ROSA(Block C),STUBBS RD|玫瑰新村C座,司徒拔道",4967.023255813953,0.0,2150.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.2,10.6791,5209.0,4967.023255813953,6488199.0,4787081.0,ASP,HP,山頂,1965/04,1965.0,60.0,1,10.0,C,blank,VILLA MONTE ROSA,玫瑰新村,True
15,1995-12-08,47A STUBBS RD|47A 司徒拔道,6875.0,0.0,1920.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",13.2,13.2,6875.0,6875.0,6492012.0,4783916.0,PRO-ASP,HP,山頂,9999,9999.0,-7974.0,A,11.0,blank,blank,blank,,False
16,1995-12-28,"EVERGREEN VILLA(Block D),STUBBS RD|松柏新村D座,司徒拔道",5232.689075630252,2600.0,2380.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",13.0,12.4538,5462.0,5232.689075630252,6502277.0,4790299.0,ASP,HP,山頂,1972/05,1972.0,53.0,2,10.0,D,blank,EVERGREEN VILLA,松柏新村,True
17,1995-12-30,"KELLETT HEIGHTS,MOUNT KELLETT RD|嘉利別墅,加列山道",5994.779411764706,1540.0,1360.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.8,8.1529,6471.0,5994.779411764706,6510605.0,4791835.0,ASP,HP,山頂,1965/03,1965.0,60.0,B,5.0,blank,blank,blank,,True
