,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",8934.59687123947,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",15.8,14.8493,9507.0,8934.59687123947,6463895.0,4777027.0,ASP,HP,山頂,1990/11,1990.0,33.0,1,27.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
1,1996-05-06,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",9952.466907340551,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",17.6,16.541,10590.0,9952.466907340551,6615485.0,4832901.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,19.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
2,1996-07-26,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",9432.25030084236,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",16.68,15.6764,10036.0,9432.25030084236,6708485.0,4870666.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,9.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
3,1996-11-15,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",11762.033694344163,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",20.8,19.5485,12515.0,11762.033694344163,6839404.0,4913684.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,21.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
4,1997-05-07,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",27866.94263734853,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",23.9,23.9,14380.0,14380.264741275572,7114113.0,5042849.0,ASP,HP,山頂,1990/11,1990.0,33.0,1,21.0,B,blank,NICHOLSON TOWER,蔚豪苑,False,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
5,1997-06-03,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",25867.30401378744,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",25.0,23.4958,15042.0,14137.063778580025,7131963.0,5058074.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,8.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
6,1997-06-12,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",25608.58473445921,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",24.75,23.2608,14892.0,13995.6678700361,7185783.0,5077863.0,ASP,HP,山頂,1990/11,1990.0,33.0,1,25.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
7,1998-04-28,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",24043.735811203776,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",18.0,16.917,10830.0,10178.70036101083,7486087.0,5194157.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,14.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
8,1998-09-19,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",23589.769736498656,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.5,11.7479,7521.0,7068.531889290012,7579741.0,38006.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,17.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
9,1998-09-16,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",22457.45918274764,1993.0,1662.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.9,11.184,7160.0,6729.241877256318,7583213.0,40855.0,ASP,HP,山頂,1990/11,1990.0,33.0,2,15.0,B,blank,NICHOLSON TOWER,蔚豪苑,True,POINT Z (22.2626958 114.1862703 0),22.2626958,114.1862703
