,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",3685.8128078817736,0.0,1015.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.15,3.7411,4089.0,3685.8128078817736,6448026.0,4773563.0,ASP,HMW,西半山,1971/10,1971.0,55.0,A,3.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
1,1996-03-18,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",3641.477832512315,0.0,1015.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.1,3.6961,4039.0,3641.477832512315,6576009.0,4817841.0,ASP,HMW,西半山,1971/10,1971.0,55.0,A,4.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
2,1996-05-10,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",4409.417475728156,0.0,1030.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.03,4.5417000000000005,4883.0,4409.417475728156,6628326.0,4837669.0,ASP,HMW,西半山,1971/10,1971.0,55.0,C,5.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
3,1996-08-10,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",3837.3205741626793,0.0,1045.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.01,4.01,3837.0,3837.3205741626793,6731592.0,4878957.0,ASP,HMW,西半山,1971/10,1971.0,55.0,B,1.0,blank,blank,blank,,False,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
4,1996-08-16,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",3028.803827751196,0.0,1045.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.5,3.1651,3349.0,3028.803827751196,6739335.0,4875632.0,ASP,HMW,西半山,1971/10,1971.0,55.0,B,7.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
5,1996-10-08,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",2848.247422680413,0.0,1455.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.45,4.1442000000000005,3058.0,2848.247422680413,6793350.0,4891685.0,ASP,HMW,西半山,1971/10,1971.0,55.0,A,1.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
6,1996-11-04,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",4586.411483253589,0.0,1045.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.3,4.7928,5072.0,4586.411483253589,6835296.0,4910911.0,ASP,HMW,西半山,1971/10,1971.0,55.0,B,11.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
7,1996-12-27,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",5636.601941747573,0.0,1030.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.43,5.8057,6243.0,5636.601941747573,6890258.0,4942532.0,ASP,HMW,西半山,1971/10,1971.0,55.0,C,7.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
8,1997-06-11,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",5068.083701494676,0.0,1015.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.05,6.3554,6946.0,6261.477832512315,7138444.0,5058699.0,ASP,HMW,西半山,1971/10,1971.0,55.0,A,6.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
9,1998-09-11,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",5967.791916278613,0.0,1015.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.5,4.0566,4434.0,3996.6502463054194,7577287.0,35941.0,MEM-ASP,HMW,西半山,1971/10,1971.0,55.0,A,11.0,blank,blank,blank,,True,POINT Z (22.2828292 114.140893 0),22.2828292,114.140893
