,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,1995-11-01,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",5173.596491228071,1390,1140,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.465,5.8979,5671,5173.596491228071,6456268,4774360,ASP,HJL,渣甸山,1972/08,1972,53,B,14.0,blank,blank,blank,,True
1,1995-11-01,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑",4831.287878787879,1450,1320,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.9,6.3773,5227,4831.287878787879,6456405,4774153,ASP,HJL,渣甸山,1973/11,1973,52,B,25.0,blank,blank,blank,,True
3,1995-11-01,"LINDEN HEIGHTS,BOYCE RD|年達園,布思道",6065.520833333333,0,960,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.5,5.8229,6771,6065.520833333333,6458757,4775993,ASP,HJL,渣甸山,1975/01,1975,50,A,14.0,blank,blank,blank,,True
4,1995-11-01,"BUTLER TOWER,BOYCE RD|柏麗園,布思道",6022.925170068027,1650,1470,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.5,8.8537,6463,6022.925170068027,6458778,4775760,ASP,HJL,渣甸山,1974/12,1974,51,A,18.0,blank,blank,blank,,True
6,1995-11-01,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",7667.389678384443,1620,1337,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.08,10.2513,8287,7667.389678384443,6466861,4778494,ASP,HJL,渣甸山,1989/01,1989,36,A,7.0,8,blank,CAVENDISH HEIGHTS,嘉雲臺,True
7,1995-11-01,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",8461.567877629062,1907,1569,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.18,13.2762,9038,8461.567877629062,6468553,4778495,ASP,HJL,渣甸山,1986/12,1986,39,A,18.0,7,blank,CAVENDISH HEIGHTS,嘉雲臺,True
8,1995-11-01,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",5434.68253968254,0,1260,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.438,6.8477,5903,5434.68253968254,6472802,4780779,ASP,HJL,渣甸山,1974/08,1974,51,B,6.0,2,blank,WING ON TOWERS,永安閣,True
10,1995-11-01,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",4033.3050847457635,1420,1180,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.2,4.7593000000000005,4407,4033.3050847457635,6475518,4782050,ASP,HJL,渣甸山,1972/08,1972,53,D,1.0,blank,blank,blank,,True
11,1995-11-01,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",5518.590998043052,595,511,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.82,2.82,5519,5518.590998043052,6475600,4782085,ASP,HJL,渣甸山,1975/06,1975,50,5,17.0,blank,blank,blank,,False
12,1995-11-01,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",7505.30557421088,1819,1489,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.98,11.1754,8046,7505.30557421088,6475766,4782128,ASP,HJL,渣甸山,1986/12,1986,39,B,17.0,5,blank,CAVENDISH HEIGHTS,嘉雲臺,True
13,1995-11-01,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",7505.30557421088,1819,1489,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.98,11.1754,8046,7505.30557421088,6476527,4788391,ASP,HJL,渣甸山,1986/12,1986,39,A,17.0,5,blank,CAVENDISH HEIGHTS,嘉雲臺,True
14,1995-12-01,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",5954.920634920635,0,1260,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.15,7.5032,6468,5954.920634920635,6476532,4788392,ASP,HJL,渣甸山,1974/08,1974,51,A,13.0,2,blank,WING ON TOWERS,永安閣,True
16,1995-12-01,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",4612.333965844402,612,527,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.0,2.4307,5693,4612.333965844402,6479454,4789472,ASP,HJL,渣甸山,1975/06,1975,50,6,14.0,blank,blank,blank,,True
17,1995-12-01,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道",8610.771191841937,1907,1569,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.43,13.5103,9197,8610.771191841937,6480046,4789619,ASP,HJL,渣甸山,1986/12,1986,39,B,29.0,6,blank,CAVENDISH HEIGHTS,嘉雲臺,True
18,1995-11-30,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",7630.624580255205,1819,1489,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.18,11.362,8180,7630.624580255205,6482940,4782892,ASP,HJL,渣甸山,1986/12,1986,39,B,14.0,5,blank,CAVENDISH HEIGHTS,嘉雲臺,True
19,1995-12-08,"SWISS TOWERS(Block 4),TAI HANG RD|瑞士花園4座,大坑道",4840.668740279938,0,1286,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.75,6.2251,5249,4840.668740279938,6485404,4786325,ASP,HJL,渣甸山,1971/07,1971,54,H,9.0,4,blank,SWISS TOWERS,瑞士花園,True
20,1995-11-24,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",9368.642447418739,1907,1569,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",15.7,14.6994,10006,9368.642447418739,6487911,4786929,PRO-ASP,HJL,渣甸山,1986/12,1986,39,B,29.0,7,blank,CAVENDISH HEIGHTS,嘉雲臺,True
21,1995-12-13,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道",6683.544303797468,1518,1185,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.65,7.92,7300,6683.544303797468,6489287,4788225,ASP,HJL,渣甸山,1987/10,1987,38,B,11.0,1,blank,FLORA GARDEN,慧景園,True
23,1995-12-13,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑",5601.439393939394,1450,1320,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.0,7.3939,6061,5601.439393939394,6489944,4787540,ASP,HJL,渣甸山,1973/11,1973,52,A,27.0,blank,blank,blank,,True
24,1995-12-21,"SWISS TOWERS(Block 2),TAI HANG RD|瑞士花園2座,大坑道",4840.668740279938,0,1286,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.75,6.2251,5249,4840.668740279938,6490872,4787659,ASP,HJL,渣甸山,1971/07,1971,54,C,1.0,2,blank,SWISS TOWERS,瑞士花園,True
25,1995-12-18,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑",4481.212121212121,1450,1320,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",6.4,5.9152000000000005,4848,4481.212121212121,6492891,4783913,ASP,HJL,渣甸山,1973/11,1973,52,B,21.0,blank,blank,blank,,True
26,1995-12-22,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",5641.754385964912,1390,1140,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.05,6.4316,6184,5641.754385964912,6493488,4784233,ASP,HJL,渣甸山,1972/08,1972,53,C,19.0,blank,blank,blank,,True
27,1995-12-21,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",7685.85086042065,1907,1569,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.88,12.0591,8209,7685.85086042065,6497623,4784479,ASP,HJL,渣甸山,1986/12,1986,39,B,18.0,7,blank,CAVENDISH HEIGHTS,嘉雲臺,True
28,1995-12-28,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",7566.475462077757,1907,1569,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.68,11.8718,8082,7566.475462077757,6498785,4784480,ASP,HJL,渣甸山,1986/12,1986,39,A,12.0,7,blank,CAVENDISH HEIGHTS,嘉雲臺,True
29,1995-12-27,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",6234.840425531915,2329,1880,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.38,11.7215,6585,6234.840425531915,6498808,4784538,ASP,HJL,渣甸山,1983/11,1983,42,2,7.0,B,blank,ELM TREE TOWER,愉富大廈,True
30,1995-12-27,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",6144.202127659574,2329,1880,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.2,11.5511,6489,6144.202127659574,6502971,4790374,ASP,HJL,渣甸山,1983/11,1983,42,2,13.0,B,blank,ELM TREE TOWER,愉富大廈,True
31,1995-12-28,"CAVENDISH HEIGHTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",8019.073203492277,1819,1489,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.8,11.9404,8596,8019.073203492277,6504622,4790435,ASP,HJL,渣甸山,1986/12,1986,39,B,23.0,3,blank,CAVENDISH HEIGHTS,嘉雲臺,True
32,1995-12-27,"SWISS TOWERS(Block 1),TAI HANG RD|瑞士花園1座,大坑道",5629.548989113529,0,1286,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.85,7.239599999999999,6104,5629.548989113529,6504926,4790466,ASP,HJL,渣甸山,1971/07,1971,54,B,14.0,1,blank,SWISS TOWERS,瑞士花園,True
33,1995-12-23,"BUTLER TOWER,BOYCE RD|柏麗園,布思道",5851.768707482993,1650,1470,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.23,8.6021,6279,5851.768707482993,6505191,4790497,ASP,HJL,渣甸山,1974/12,1974,51,A,12.0,blank,blank,blank,,True
36,1996-01-12,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",5246.190476190476,0,1260,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.18,6.6102,5698,5246.190476190476,6519049,4794640,ASP,HJL,渣甸山,1974/08,1974,51,A,3.0,2,blank,WING ON TOWERS,永安閣,True
37,1996-01-16,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",4335.673624288425,612,527,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.82,2.2849,5351,4335.673624288425,6519173,4794111,ASP,HJL,渣甸山,1975/06,1975,50,6,18.0,blank,blank,blank,,True
38,1996-01-15,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",5445.0,1420,1180,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.02,6.4251,5949,5445.0,6519358,4794078,ASP,HJL,渣甸山,1972/08,1972,53,A,17.0,blank,blank,blank,,True
43,1996-01-22,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",7113.76215407629,1620,1337,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.28,9.5111,7689,7113.76215407629,6524171,4795820,ASP,HJL,渣甸山,1989/01,1989,36,A,3.0,8,blank,CAVENDISH HEIGHTS,嘉雲臺,True
