,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1996-08-01,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5300.380228136883,666.0,526.0,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.788,2.788,5300.0,5300.380228136883,6415316.0,4773436.0,SUB-ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,D,11.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
1,1995-11-01,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5449.54128440367,679.0,545.0,"{'bay_window': '12', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.97,2.97,5450.0,5449.54128440367,6470125.0,4779622.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,C,13.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
2,1995-12-08,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5589.3536121673005,666.0,526.0,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.94,2.94,5589.0,5589.3536121673005,6486767.0,4788007.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,D,13.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
3,1996-01-17,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5608.365019011407,666.0,526.0,"{'bay_window': '22', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.95,2.95,5608.0,5608.365019011407,6519181.0,4794546.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,A,18.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
4,1996-02-08,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5732.946298984035,856.0,689.0,"{'bay_window': '12', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.95,3.95,5733.0,5732.946298984035,6548442.0,4805842.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,F,18.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
5,1996-02-23,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",6718.75,816.0,640.0,"{'bay_window': '32', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.3,4.3,6719.0,6718.75,6549752.0,4806442.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,H,25.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
6,1996-02-13,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5587.808417997097,856.0,689.0,"{'bay_window': '12', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.85,3.85,5588.0,5587.808417997097,6555919.0,4808456.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,G,19.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
7,1996-02-10,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",5984.375,816.0,640.0,"{'bay_window': '32', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.83,3.83,5984.0,5984.375,6556020.0,4808483.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,H,18.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
8,1996-02-26,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",6018.348623853211,679.0,545.0,"{'bay_window': '12', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.28,3.28,6018.0,6018.348623853211,6556283.0,4808216.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,B,18.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
9,1996-04-03,"ALBANY COURT(Block 32,Phase 4,SOUTH HORIZONS),32 YI NAM RD|海怡半島,4期,32座(御泉居),32 怡南路",6018.348623853211,679.0,545.0,"{'bay_window': '12', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.28,3.28,6018.0,6018.348623853211,6595396.0,4820468.0,ASP,HA,香港仔/鴨利洲,1995/07,1995.0,31.0,B,13.0,32,4,SOUTH HORIZONS,海怡半島,False,POINT Z (22.2435972 114.1492768 0),22.2435972,114.1492768
