,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
0,1995-11-01,"FU KING YUEN(Block 4,CHI FU FA YUEN),CHI FU RD|置富花園,4座(富景苑),置富道",4347.079037800688,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.53,2.53,4347.0,4347.079037800688,6446155.0,4773504.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,F,22.0,4,blank,CHI FU FA YUEN,置富花園,False
1,1995-11-01,"FU YAT YUEN(Block 6,CHI FU FA YUEN),CHI FU RD|置富花園,6座(富逸苑),置富道",4206.896551724138,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.83,1.83,4207.0,4206.896551724138,6446950.0,4773722.0,ASP,HPFL,薄扶林,1978/09,1978.0,48.0,A,10.0,6,blank,CHI FU FA YUEN,置富花園,False
2,1995-11-01,"FU YAN YUEN(Block 8,CHI FU FA YUEN),CHI FU RD|置富花園,8座(富仁苑),置富道",4415.807560137457,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.57,2.57,4416.0,4415.807560137457,6449978.0,4773721.0,ASP,HPFL,薄扶林,1979/01,1979.0,47.0,F,17.0,8,blank,CHI FU FA YUEN,置富花園,False
3,1995-11-01,"FU YI YUEN(Block 7,CHI FU FA YUEN),CHI FU RD|置富花園,7座(富怡苑),置富道",4482.758620689655,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.95,1.95,4483.0,4482.758620689655,6450333.0,4773723.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,D,20.0,7,blank,CHI FU FA YUEN,置富花園,False
4,1995-11-01,"FU HO YUEN(Block 5,CHI FU FA YUEN),CHI FU RD|置富花園,5座(富豪苑),置富道",3986.254295532646,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.32,2.32,3986.0,3986.254295532646,6451149.0,4773720.0,ASP,HPFL,薄扶林,1978/12,1978.0,48.0,B,5.0,5,blank,CHI FU FA YUEN,置富花園,False
5,1995-11-01,"FU CHAK YUEN(Block 18,CHI FU FA YUEN),CHI FU RD|置富花園,18座(富澤苑),置富道",3908.0459770114944,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,3908.0,3908.0459770114944,6452304.0,4774548.0,ASP,HPFL,薄扶林,1981/06,1981.0,45.0,D,5.0,18,blank,CHI FU FA YUEN,置富花園,False
6,1995-11-01,"BAGUIO VILLA(Block 24),VICTORIA RD|碧瑤灣24座,域多利道",3650.4918032786886,1020.0,915.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.75,3.3402,4098.0,3650.4918032786886,6452626.0,4774492.0,ASP,HPFL,薄扶林,1979/03,1979.0,47.0,A,21.0,24,blank,BAGUIO VILLA,碧瑤灣,True
7,1995-11-01,"FU YAN YUEN(Block 8,CHI FU FA YUEN),CHI FU RD|置富花園,8座(富仁苑),置富道",4068.9655172413795,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.77,1.77,4069.0,4068.9655172413795,6452852.0,4774558.0,ASP,HPFL,薄扶林,1979/01,1979.0,47.0,D,15.0,8,blank,CHI FU FA YUEN,置富花園,False
9,1995-11-01,"FU HING YUEN(Block 20,CHI FU FA YUEN),CHI FU RD|置富花園,20座(富興苑),置富道",4758.620689655172,518.0,435.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.07,2.07,4759.0,4758.620689655172,6453023.0,4774551.0,ASP,HPFL,薄扶林,1981/06,1981.0,45.0,H,21.0,20,blank,CHI FU FA YUEN,置富花園,False
10,1995-11-01,"FU MING YUEN(Block 17,CHI FU FA YUEN),CHI FU RD|置富花園,17座(富明苑),置富道",4123.711340206186,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.4,2.4,4124.0,4123.711340206186,6453163.0,4774555.0,ASP,HPFL,薄扶林,1981/06,1981.0,45.0,F,24.0,17,blank,CHI FU FA YUEN,置富花園,False
11,1995-11-01,"FU YAR YUEN(Block 12,CHI FU FA YUEN),CHI FU RD|置富花園,12座(富雅苑),置富道",4639.1752577319585,694.0,582.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.7,2.7,4639.0,4639.1752577319585,6453536.0,4774559.0,ASP,HPFL,薄扶林,1980/04,1980.0,46.0,C,9.0,12,blank,CHI FU FA YUEN,置富花園,False
