,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",6779.436152570481,750.0,603.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.088,4.088,6779.0,6779.436152570481,6449897.0,4773881.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,F,2.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
1,1995-11-01,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",6703.767123287671,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.915,3.915,6704.0,6703.767123287671,6449898.0,4773882.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,D,5.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
2,1995-11-01,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",7020.547945205479,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.1,4.1,7021.0,7020.547945205479,6451567.0,4773884.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,D,2.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
3,1995-11-01,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",6952.054794520547,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.06,4.06,6952.0,6952.054794520547,6451568.0,4773885.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,D,3.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
4,1995-11-01,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",6952.054794520547,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.06,4.06,6952.0,6952.054794520547,6456434.0,4775025.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,D,4.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
5,1995-11-01,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",9410.029498525071,842.0,678.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '498', 'garden': '', 'yard': ''}",6.38,6.38,9410.0,9410.029498525071,6463069.0,4777034.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,B,0.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
6,1995-11-28,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",8325.041459369817,750.0,603.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '462', 'garden': '', 'yard': ''}",5.02,5.02,8325.0,8325.041459369817,6481976.0,4783384.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,A,0.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
7,1996-01-30,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",6849.315068493151,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.0,4.0,6849.0,6849.315068493151,6537980.0,4800856.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,D,0.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
8,1996-02-10,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",7448.630136986301,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.35,4.35,7449.0,7448.630136986301,6541992.0,4803138.0,SUB-ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,D,0.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
9,1996-04-13,"PARC OASIS(Block 14),PARC OASIS RD|又一居14座,又一居道",7928.082191780822,725.0,584.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.63,4.63,7928.0,7928.082191780822,6603686.0,4827927.0,ASP,KSKM,石硤尾/又一村,1992/10,1992.0,33.0,C,1.0,14,blank,PARC OASIS,又一居,False,POINT Z (22.3345373 114.1748219 0),22.3345373,114.1748219
