,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3835.227272727273,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,3835.0,3835.227272727273,476588.0,4773508.0,ASP,NTP,大埔,1988/07,1988.0,38.0,G,26.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
1,1995-11-25,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3915.492957746479,454.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.39,1.39,3915.0,3915.492957746479,478815.0,4788828.0,ASP,NTP,大埔,1988/07,1988.0,38.0,H,25.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
2,1995-12-15,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3352.2727272727275,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.18,1.18,3352.0,3352.2727272727275,479362.0,4786109.0,ASP,NTP,大埔,1988/07,1988.0,38.0,F,10.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
3,1995-12-15,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3985.915492957746,454.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.415,1.415,3986.0,3985.915492957746,479541.0,4786975.0,ASP,NTP,大埔,1988/07,1988.0,38.0,A,23.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
4,1995-12-30,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4028.169014084507,454.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.43,1.43,4028.0,4028.169014084507,481238.0,4792686.0,ASP,NTP,大埔,1988/07,1988.0,38.0,A,17.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
5,1996-01-20,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4005.681818181818,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.41,1.41,4006.0,4005.681818181818,482845.0,4800408.0,ASP,NTP,大埔,1988/07,1988.0,38.0,B,23.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
6,1996-01-31,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3661.9718309859154,446.0,355.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.3,1.3,3662.0,3661.9718309859154,484007.0,4805513.0,ASP,NTP,大埔,1988/07,1988.0,38.0,E,5.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
7,1996-03-01,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3551.1363636363635,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.25,1.25,3551.0,3551.1363636363635,485706.0,4812034.0,ASP,NTP,大埔,1988/07,1988.0,38.0,B,3.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
8,1996-03-21,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4261.363636363636,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,4261.0,4261.363636363636,486996.0,4822578.0,ASP,NTP,大埔,1988/07,1988.0,38.0,B,26.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
9,1996-04-01,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4394.366197183099,446.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.56,1.56,4394.0,4394.366197183099,487126.0,4823485.0,ASP,NTP,大埔,1988/07,1988.0,38.0,D,10.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
10,1996-04-01,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4225.352112676056,454.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,4225.0,4225.352112676056,487315.0,4818651.0,ASP,NTP,大埔,1988/07,1988.0,38.0,E,23.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
11,1996-04-23,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4488.636363636364,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.58,1.58,4489.0,4488.636363636364,488118.0,4827397.0,ASP,NTP,大埔,1988/07,1988.0,38.0,C,18.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
12,1996-04-18,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4156.25,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.463,1.463,4156.0,4156.25,488646.0,4831666.0,ASP,NTP,大埔,1988/07,1988.0,38.0,F,14.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
13,1996-04-29,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4488.636363636364,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.58,1.58,4489.0,4488.636363636364,490107.0,4838522.0,ASP,NTP,大埔,1988/07,1988.0,38.0,C,23.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
14,1996-05-23,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4417.613636363636,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.555,1.555,4418.0,4417.613636363636,491687.0,4844812.0,ASP,NTP,大埔,1988/07,1988.0,38.0,B,25.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
15,1996-05-01,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4366.197183098591,446.0,355.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.55,1.55,4366.0,4366.197183098591,492373.0,4844813.0,ASP,NTP,大埔,1988/07,1988.0,38.0,D,15.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
16,1996-07-18,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3802.8169014084506,446.0,355.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.35,1.35,3803.0,3802.8169014084506,497320.0,4870014.0,ASP,NTP,大埔,1988/07,1988.0,38.0,D,3.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
17,1996-08-06,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3693.181818181818,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.3,1.3,3693.0,3693.181818181818,499576.0,4876780.0,ASP,NTP,大埔,1988/07,1988.0,38.0,B,17.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
18,1996-09-16,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4375.0,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.54,1.54,4375.0,4375.0,503547.0,4890241.0,ASP,NTP,大埔,1988/07,1988.0,38.0,B,18.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
19,1996-09-17,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4276.056338028169,454.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.518,1.518,4276.0,4276.056338028169,504047.0,4894330.0,ASP,NTP,大埔,1988/07,1988.0,38.0,D,17.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
20,1996-10-26,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4062.5,451.0,352.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.43,1.43,4063.0,4062.5,506778.0,4908908.0,SUB-ASP,NTP,大埔,1988/07,1988.0,38.0,F,11.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
21,1996-11-06,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",3859.154929577465,446.0,355.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.37,1.37,3859.0,3859.154929577465,507700.0,4916520.0,ASP,NTP,大埔,1988/07,1988.0,38.0,D,4.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
22,1996-11-12,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4028.169014084507,446.0,355.0,"{'bay_window': '16', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.43,1.43,4028.0,4028.169014084507,508196.0,4916521.0,ASP,NTP,大埔,1988/07,1988.0,38.0,H,4.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
23,1996-11-14,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4431.818181818182,451.0,352.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.56,1.56,4432.0,4431.818181818182,508329.0,4912668.0,ASP,NTP,大埔,1988/07,1988.0,38.0,C,8.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
24,1996-11-07,"KWEI CHEONG COURT(Block 2,FORTUNE PLAZA),ON CHEE RD|昌運中心,2座(貴昌閣),安慈路",4450.704225352113,454.0,355.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.58,1.58,4451.0,4450.704225352113,508958.0,4912670.0,ASP,NTP,大埔,1988/07,1988.0,38.0,E,20.0,2,blank,FORTUNE PLAZA,昌運中心,False,POINT Z (22.4526077 114.1680178 0),22.4526077,114.1680178
