,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1,1995-11-01,"CAMBRIDGE GARDENS,BABINGTON PATH|金時大廈,巴丙頓道",3685.8128078817736,0.0,1015.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.15,3.7411,4089.0,3685.8128078817736,6448026.0,4773563.0,ASP,HMW,西半山,1971/10,1971.0,55.0,A,3.0,blank,blank,blank,,True
2,1995-11-01,"DYNASTY COURT(Block 1),OLD PEAK RD|帝景園1座,舊山頂道",10386.663152345809,2256.0,1897.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",20.8,19.7035,10965.0,10386.663152345809,6448546.0,4773747.0,ASP,HMW,西半山,1991/09,1991.0,35.0,B,15.0,1,blank,DYNASTY COURT,帝景園,True
3,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",8069.0298507462685,1298.0,1072.0,"{'bay_window': '57', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.65,8.65,8069.0,8069.0298507462685,6448727.0,4773949.0,ASP,HMW,西半山,1994/12,1994.0,32.0,B,35.0,1,blank,ROBINSON PLACE,雍景臺,False
4,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",7892.105263157895,1353.0,1140.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.997,8.997,7892.0,7892.105263157895,6448728.0,4773950.0,ASP,HMW,西半山,1994/12,1994.0,32.0,D,10.0,1,blank,ROBINSON PLACE,雍景臺,False
5,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",10667.543859649122,1353.0,1140.0,"{'bay_window': '34', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.161,12.161,10668.0,10667.543859649122,6448729.0,4773951.0,ASP,HMW,西半山,1994/12,1994.0,32.0,D,42.0,1,blank,ROBINSON PLACE,雍景臺,False
6,1995-11-01,"KENYON COURT,BONHAM RD|錦翠園,般咸道",4341.708542713568,1145.0,995.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",4.32,4.32,4342.0,4341.708542713568,6448803.0,4773606.0,ASP,HMW,西半山,1983/12,1983.0,43.0,B,8.0,blank,blank,blank,,False
7,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",8108.20895522388,1298.0,1072.0,"{'bay_window': '57', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.692,8.692,8108.0,8108.20895522388,6449329.0,4773937.0,ASP,HMW,西半山,1994/12,1994.0,32.0,B,38.0,1,blank,ROBINSON PLACE,雍景臺,False
8,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",7345.050878815911,1308.0,1081.0,"{'bay_window': '57', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.94,7.94,7345.0,7345.050878815911,6449330.0,4773938.0,ASP,HMW,西半山,1994/12,1994.0,32.0,G,21.0,1,blank,ROBINSON PLACE,雍景臺,False
9,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",7478.7037037037035,1307.0,1080.0,"{'bay_window': '57', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.077,8.077,7479.0,7478.7037037037035,6449331.0,4773939.0,ASP,HMW,西半山,1994/12,1994.0,32.0,G,31.0,1,blank,ROBINSON PLACE,雍景臺,False
10,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",7502.777777777777,1307.0,1080.0,"{'bay_window': '57', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.103,8.103,7503.0,7502.777777777777,6449332.0,4773940.0,ASP,HMW,西半山,1994/12,1994.0,32.0,G,32.0,1,blank,ROBINSON PLACE,雍景臺,False
11,1995-11-01,"ROBINSON PLACE(Block 1),ROBINSON RD|雍景臺1座,羅便臣道",7685.185185185186,1307.0,1080.0,"{'bay_window': '57', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.3,8.3,7685.0,7685.185185185186,6449333.0,4773941.0,ASP,HMW,西半山,1994/12,1994.0,32.0,G,35.0,1,blank,ROBINSON PLACE,雍景臺,False
