,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
4,1995-11-01,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3587.7862595419847,350.0,262.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.94,0.94,3588.0,3587.7862595419847,6449759.0,4773609.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,E,11.0,blank,blank,blank,,False
5,1995-11-01,"SHUN FAI BLDG,CHEUNG FAT ST|順輝大廈,長發街",4754.601226993865,492.0,326.0,"{'bay_window': '', 'flat_roof': '107', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.55,1.55,4755.0,4754.601226993865,6449893.0,4774120.0,ASP,KCSW,長沙灣/深水埗,1994/01,1994.0,32.0,D,1.0,blank,blank,blank,,False
6,1995-11-01,"SHUN FAI BLDG,CHEUNG FAT ST|順輝大廈,長發街",4411.764705882353,499.0,340.0,"{'bay_window': '', 'flat_roof': '924', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.5,1.5,4412.0,4411.764705882353,6449894.0,4774121.0,ASP,KCSW,長沙灣/深水埗,1994/01,1994.0,32.0,B,1.0,blank,blank,blank,,False
11,1995-11-01,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",4105.839416058394,338.0,274.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.125,1.125,4106.0,4105.839416058394,6451891.0,4774241.0,ASP,KCSW,長沙灣/深水埗,1988/03,1988.0,38.0,E,9.0,blank,blank,blank,,False
12,1995-11-01,"KINGA COURT,YEE KUK ST|健基閣,醫局街",4181.0344827586205,622.0,464.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.94,1.94,4181.0,4181.0344827586205,6452609.0,4774286.0,ASP,KCSW,長沙灣/深水埗,1994/08,1994.0,32.0,A,14.0,blank,blank,blank,,False
14,1995-11-01,"KAM ON BLDG,TAI PO RD|金安大廈,大埔道",3181.184668989547,428.0,287.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.913,0.913,3181.0,3181.184668989547,6453393.0,4774268.0,ASP,KCSW,長沙灣/深水埗,1985/11,1985.0,41.0,C,7.0,blank,blank,blank,,False
20,1995-11-01,"KAM YEE HSE,YEE KUK ST|金怡樓,醫局街",4466.403162055336,437.0,253.0,"{'bay_window': '24', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.13,1.13,4466.0,4466.403162055336,6455681.0,4774272.0,ASP,KCSW,長沙灣/深水埗,1994/09,1994.0,32.0,A,14.0,blank,blank,blank,,False
23,1995-11-01,"LAI BO GARDEN(Block 2),CHEUNG WAH ST|麗寶花園2座,昌華街",5097.0873786407765,575.0,412.0,"{'bay_window': '31', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.1,2.1,5097.0,5097.0873786407765,6456467.0,4774922.0,ASP,KCSW,長沙灣/深水埗,1991/06,1991.0,35.0,B,18.0,2,blank,LAI BO GARDEN,麗寶花園,False
25,1995-11-01,"YEE KIN HSE(Block C,YEE KOK COURT),CHEUNG SHA WAN RD|怡閣苑,C座(怡建閣),長沙灣道",3584.9056603773583,684.0,530.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.9,1.9,3585.0,3584.9056603773583,6456740.0,4775500.0,ASP,KCSW,長沙灣/深水埗,1981/06,1981.0,45.0,6,6.0,C,blank,YEE KOK COURT,怡閣苑,False
30,1995-11-01,"HOSAR BLDG,TAI PO RD|豪信大廈,大埔道",5098.0392156862745,392.0,255.0,"{'bay_window': '9', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.3,1.3,5098.0,5098.0392156862745,6457133.0,4774252.0,ASP,KCSW,長沙灣/深水埗,1994/12,1994.0,32.0,A,7.0,blank,blank,blank,,False
32,1995-11-01,"HOSAR BLDG,TAI PO RD|豪信大廈,大埔道",5094.117647058823,392.0,255.0,"{'bay_window': '9', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.299,1.299,5093.0,5094.117647058823,6457316.0,4774253.0,ASP,KCSW,長沙灣/深水埗,1994/12,1994.0,32.0,A,6.0,blank,blank,blank,,False
33,1995-11-01,"KINGA COURT,YEE KUK ST|健基閣,醫局街",4181.0344827586205,622.0,464.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.94,1.94,4181.0,4181.0344827586205,6457552.0,4774285.0,ASP,KCSW,長沙灣/深水埗,1994/08,1994.0,32.0,B,14.0,blank,blank,blank,,False
35,1995-11-01,"HANG NING COURT,SHUN NING RD|恒寧閣,順寧道",3571.4285714285716,0.0,280.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.0,1.0,3571.0,3571.4285714285716,6457564.0,4774236.0,ASP,KCSW,長沙灣/深水埗,1981/09,1981.0,45.0,C,12.0,blank,blank,blank,,False
41,1995-11-01,"LAI LUEN BLDG,LAI CHI KOK RD|荔聯大廈,荔枝角道",3468.6567164179105,408.0,335.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.162,1.162,3469.0,3468.6567164179105,6458538.0,4775972.0,ASP,KCSW,長沙灣/深水埗,1976/06,1976.0,50.0,C,5.0,blank,blank,blank,,False
42,1995-11-01,"MERLIN CTR(Block D),SHUN NING RD|美寧中心D座,順寧道",4507.575757575758,338.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.19,1.19,4508.0,4507.575757575758,6460873.0,4776989.0,ASP,KCSW,長沙灣/深水埗,1985/05,1985.0,41.0,5,7.0,D,blank,MERLIN CTR,美寧中心,False
43,1995-11-01,"LEE TAT BLDG,FUK WING ST|利達大廈,福榮街",3125.0,0.0,320.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.0,1.0,3125.0,3125.0,6460968.0,4775987.0,ASP,KCSW,長沙灣/深水埗,1980/01,1980.0,46.0,whole floor,10.0,blank,blank,blank,,False
47,1995-11-01,"LAI BO GARDEN(Block 1),CHEUNG WAH ST|麗寶花園1座,昌華街",4805.825242718447,577.0,412.0,"{'bay_window': '33', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.98,1.98,4806.0,4805.825242718447,6462051.0,4776895.0,ASP,KCSW,長沙灣/深水埗,1991/06,1991.0,35.0,A,10.0,1,blank,LAI BO GARDEN,麗寶花園,False
49,1995-11-01,"KAM ON BLDG,TAI PO RD|金安大廈,大埔道",5084.745762711865,352.0,236.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.2,1.2,5085.0,5084.745762711865,6462465.0,4775941.0,ASP,KCSW,長沙灣/深水埗,1985/11,1985.0,41.0,B,3.0,blank,blank,blank,,False
51,1995-11-01,"FORTUNE MANSION,APLIU ST|運福樓,鴨寮街",4574.468085106383,240.0,188.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.86,0.86,4574.0,4574.468085106383,6462562.0,4775874.0,ASP,KCSW,長沙灣/深水埗,1982/06,1982.0,44.0,F,9.0,blank,blank,blank,,False
53,1995-11-01,"DIAMOND BLDG,NAM CHEONG ST|鑽石樓,南昌街",3364.3122676579924,0.0,538.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.81,1.81,3364.0,3364.3122676579924,6463021.0,4775809.0,ASP,KCSW,長沙灣/深水埗,1967/07,1967.0,59.0,C,11.0,blank,blank,blank,,False
54,1995-11-01,"YUE HING BLDG,LAI CHI KOK RD|裕興大廈,荔枝角道",3878.787878787879,321.0,198.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.768,0.768,3879.0,3878.787878787879,6463674.0,4776214.0,ASP,KCSW,長沙灣/深水埗,1990/03,1990.0,36.0,B,9.0,blank,blank,blank,,False
55,1995-11-01,241-249 CHEUNG SHA WAN RD|241-249 長沙灣道,4152.542372881356,0.0,472.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.96,1.96,4153.0,4152.542372881356,6463722.0,4775658.0,ASP,KCSW,長沙灣/深水埗,1985/00,1985.0,41.0,D,6.0,blank,blank,blank,,False
57,1995-11-01,"LAI KWAN COURT,CASTLE PEAK RD|麗群閣,青山道",4971.739130434783,641.0,460.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.287,2.287,4972.0,4971.739130434783,6463774.0,4775970.0,ASP,KCSW,長沙灣/深水埗,1994/02,1994.0,32.0,D,9.0,blank,blank,blank,,False
58,1995-11-01,"LAI KWAN COURT,CASTLE PEAK RD|麗群閣,青山道",4971.739130434783,641.0,460.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.287,2.287,4972.0,4971.739130434783,6463775.0,4775971.0,ASP,KCSW,長沙灣/深水埗,1994/02,1994.0,32.0,D,8.0,blank,blank,blank,,False
