,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3587.7862595419847,350.0,262.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.94,0.94,3588.0,3587.7862595419847,6449759.0,4773609.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,E,11.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
1,1996-01-25,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3219.696969696969,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.85,0.85,3220.0,3219.696969696969,6529014.0,4796006.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,C,5.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
2,1996-06-01,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3731.060606060606,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.985,0.985,3731.0,3731.060606060606,6667348.0,4852665.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,G,10.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
3,1996-09-11,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3625.0,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.957,0.957,3625.0,3625.0,6759131.0,4880617.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,B,9.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
4,1996-11-01,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3877.862595419848,350.0,262.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.016,1.016,3878.0,3877.862595419848,6818785.0,4907968.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,A,10.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
5,1996-11-05,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3598.4848484848485,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.95,0.95,3598.0,3598.4848484848485,6836249.0,4911361.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,C,10.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
6,1996-11-12,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3396.946564885496,350.0,262.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.89,0.89,3397.0,3396.946564885496,6841293.0,4911362.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,E,2.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
7,1996-11-29,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3560.6060606060605,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",0.94,0.94,3561.0,3560.6060606060605,6861987.0,4926157.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,F,5.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
8,1997-03-03,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",3682.105695584509,350.0,262.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.03,1.03,3931.0,3931.297709923664,6989580.0,4989313.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,E,9.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
9,1997-06-03,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",4104.027163243105,350.0,262.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.23,1.23,4695.0,4694.656488549618,7138780.0,5059481.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,A,9.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
10,1997-06-06,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",4778.249364063402,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.443,1.443,5466.0,5465.909090909091,7156528.0,5067560.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,F,9.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
11,1997-06-18,"KIU CHAU BLDG,KIU KIANG ST|九洲大廈,九江街",4536.522265257699,355.0,264.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.37,1.37,5189.0,5189.393939393939,7170952.0,5073369.0,ASP,KCSW,長沙灣/深水埗,1982/08,1982.0,44.0,G,4.0,blank,blank,blank,,False,POINT Z (22.3290222 114.1572656 0),22.3290222,114.1572656
