,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS
1654,1997-10-23,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",2991.9954358572927,596,433,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.6,1.6,3695,3695.150115473441,7322216,5125144,ASP,HSSW,小西灣,1993/08,1993,31,6,3,B,blank,KAI TSUI COURT,佳翠苑,False
1655,1997-10-22,"HIN TSUI HSE(Block A,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,A座(顯翠閣),小西灣道",2934.8180137849736,740,538,"{'bay_window': '3', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.95,1.95,3625,3624.53531598513,7330420,5129159,ASP,HSSW,小西灣,1993/08,1993,31,4,8,A,blank,KAI TSUI COURT,佳翠苑,False
1656,1997-10-11,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",3352.7003543695805,877,640,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.65,2.65,4141,4140.625,7339310,5133217,ASP,HSSW,小西灣,1993/08,1993,31,9,36,B,blank,KAI TSUI COURT,佳翠苑,False
1657,1997-11-25,"HIN TSUI HSE(Block A,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,A座(顯翠閣),小西灣道",3308.404521274782,596,433,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.66,1.66,3834,3833.718244803695,7353894,5139107,ASP,HSSW,小西灣,1993/08,1993,31,6,36,A,blank,KAI TSUI COURT,佳翠苑,False
1658,1997-12-02,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",3520.6142387371833,823,598,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.33,2.33,3896,3896.321070234114,7361966,5140969,ASP,HSSW,小西灣,1993/08,1993,31,3,6,B,blank,KAI TSUI COURT,佳翠苑,False
1659,1997-12-06,"HIN TSUI HSE(Block A,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,A座(顯翠閣),小西灣道",2939.1346114511402,737,538,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.75,1.75,3253,3252.7881040892194,7367591,5144215,ASP,HSSW,小西灣,1993/08,1993,31,8,30,A,blank,KAI TSUI COURT,佳翠苑,False
1660,1997-10-28,"HIN TSUI HSE(Block A,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,A座(顯翠閣),小西灣道",2709.06278195536,740,538,"{'bay_window': '3', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.8,1.8,3346,3345.724907063197,7370289,5144009,ASP,HSSW,小西灣,1993/08,1993,31,12,5,A,blank,KAI TSUI COURT,佳翠苑,False
1661,1997-12-15,"HIN TSUI HSE(Block A,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,A座(顯翠閣),小西灣道",3550.8341034473738,823,598,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.35,2.35,3930,3929.7658862876256,7374599,5146367,ASP,HSSW,小西灣,1993/08,1993,31,2,18,A,blank,KAI TSUI COURT,佳翠苑,False
1662,1997-12-16,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",3317.81061540864,877,640,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.35,2.35,3672,3671.875,7381169,5146745,ASP,HSSW,小西灣,1993/08,1993,31,9,29,B,blank,KAI TSUI COURT,佳翠苑,False
1663,1997-11-25,"HIN TSUI HSE(Block A,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,A座(顯翠閣),小西灣道",3047.682626027638,740,538,"{'bay_window': '3', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.9,1.9,3532,3531.5985130111526,7382761,5148415,ASP,HSSW,小西灣,1993/08,1993,31,16,18,A,blank,KAI TSUI COURT,佳翠苑,False
