,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1997-10-23,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",2992.656919774347,596,433,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.6,1.6,3695,3695.150115473441,7322216,5125144,ASP,HSSW,小西灣,1993/08,1993,31,6,3,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
1,1997-10-11,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",3353.4415845655026,877,640,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.65,2.65,4141,4140.625,7339310,5133217,ASP,HSSW,小西灣,1993/08,1993,31,9,36,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
2,1997-12-02,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",3521.408189928027,823,598,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.33,2.33,3896,3896.321070234114,7361966,5140969,ASP,HSSW,小西灣,1993/08,1993,31,3,6,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
3,1997-12-16,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",3318.5588313478106,877,640,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.35,2.35,3672,3671.875,7381169,5146745,ASP,HSSW,小西灣,1993/08,1993,31,9,29,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
4,2001-03-06,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4977.242150913448,737,538,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.7,1.7,3160,3159.8513011152418,8348153,648948,ASP,HSSW,小西灣,1993/08,1993,31,8,33,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
5,2005-02-25,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4128.334298040491,877,640,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.045,2.045,3195,3195.3125,5031401730012,1554756,PRO-ASP,HSSW,小西灣,1993/08,1993,31,9,22,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
6,2005-04-07,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4106.372955442495,596,433,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.338,1.338,3090,3090.069284064665,5042500970266,1593136,ASP,HSSW,小西灣,1993/08,1993,31,6,22,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
7,2005-04-13,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4149.7045786407725,740,538,"{'bay_window': '3', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.68,1.68,3123,3122.6765799256505,5052002830208,1620543,PRO-ASP,HSSW,小西灣,1993/08,1993,31,16,23,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
8,2005-08-22,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4093.427616613048,748,546,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.68,1.68,3077,3076.923076923077,5092000950010,1727067,PRO-ASP,HSSW,小西灣,1993/08,1993,31,8,6,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
9,2005-10-20,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4370.0080567239,823,598,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",2.0,2.0,3344,3344.4816053511704,5110301750261,1759299,ASP,HSSW,小西灣,1993/08,1993,31,11,10,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
10,2006-04-06,"YIU TSUI HSE(Block B,KAI TSUI COURT),SIU SAI WAN RD|佳翠苑,B座(耀翠閣),小西灣道",4080.983028163797,740,538,"{'bay_window': '3', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",1.67,1.67,3104,3104.089219330855,6042401320060,1861868,ASP,HSSW,小西灣,1993/08,1993,31,12,29,B,blank,KAI TSUI COURT,佳翠苑,False,POINT Z (22.2615339 114.2512627 0),22.2615339,114.2512627
