,instr_date,final_address,time_adj_npsf,gfa,nfa,other_area,original_consid,consid,original_npsf,npsf,memo_no,MW_data_code,nat_instr,d_code,code_chinese,op_date,op_year,bldg_age,unit,floor,block,phase,est_name_en,est_name_ch,with_CPS,final_coords,lat,long
0,1995-11-01,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",3364.4859813084117,1238.0,1070.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",3.6,3.6,3364.0,3364.4859813084117,6469015.0,4777829.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,E,1.0,blank,blank,blank,,False,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
1,1996-02-12,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7362.251655629139,1544.0,1359.0,"{'bay_window': '', 'flat_roof': '', 'roof': '1337', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.8,10.0053,7947.0,7362.251655629139,6547106.0,4805015.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,C,3.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
2,1996-03-29,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",6268.911564625851,1666.0,1470.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.888,9.2153,6727.0,6268.911564625851,6596878.0,4821312.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,B,3.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
3,1996-07-11,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",6356.245954692557,1803.0,1545.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",10.5,9.8204,6796.0,6356.245954692557,6711153.0,4869709.0,ASP,HSL,赤柱,1988/06,1988.0,38.0,A,1.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
4,1996-11-05,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7893.966151582045,1544.0,1359.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",11.58,10.7279,8521.0,7893.966151582045,6829923.0,4915170.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,C,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
5,1996-11-27,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",9708.73786407767,1803.0,1545.0,"{'bay_window': '', 'flat_roof': '', 'roof': '1522', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",15.0,15.0,9709.0,9708.73786407767,6869019.0,4931458.0,ASP,HSL,赤柱,1988/06,1988.0,38.0,A,3.0,blank,blank,blank,,False,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
6,1996-12-13,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7960.747051114024,1785.0,1526.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",13.0,12.1481,8519.0,7960.747051114024,6873604.0,4929643.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,A,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
7,1997-01-21,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7059.814658803708,1423.0,1187.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",8.38,8.38,7060.0,7059.814658803708,6918659.0,4988004.0,ASP,HSL,赤柱,1988/06,1988.0,38.0,D,1.0,1,blank,blank,,False,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
8,1997-03-06,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7268.072422105722,1668.0,1472.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.88,12.005,8750.0,8155.570652173913,7001102.0,4992896.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,B,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
9,1997-12-16,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",6952.639076772332,1423.0,1187.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.98,9.1392,8408.0,7699.410278011795,7393686.0,5151911.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,D,1.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
10,1999-01-07,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",8611.612954990906,1548.0,1352.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",9.1,8.4269,6731.0,6232.914201183432,7668227.0,126654.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,F,2.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
11,2001-04-10,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7578.560940025345,1668.0,1472.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",7.5,6.9905,5095.0,4748.98097826087,8371870.0,669752.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,B,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
12,2001-06-29,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",7996.157731680677,1238.0,1070.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",5.29,5.29,4944.0,4943.92523364486,8446347.0,729134.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,E,1.0,blank,blank,blank,,False,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
13,2004-04-15,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",15573.412250673962,1803.0,1545.0,"{'bay_window': '', 'flat_roof': '', 'roof': '1522', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",17.2,16.0867,11133.0,10412.10355987055,9199026.0,1318504.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,A,3.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
14,2004-09-27,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",12259.63344813514,1544.0,1359.0,"{'bay_window': '', 'flat_roof': '', 'roof': '1337', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",12.3,11.3949,9051.0,8384.76821192053,9374351.0,1448539.0,PRO-ASP,HSL,赤柱,1988/04,1988.0,38.0,C,3.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
15,2005-06-13,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",11493.839789917249,1785.0,1526.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",14.2,13.2695,9305.0,8695.609436435125,5071101030066.0,1674485.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,A,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
16,2007-11-15,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",11524.633251054043,1668.0,1472.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",17.28,16.1061,11739.0,10941.644021739132,7112602240033.0,2315495.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,B,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
17,2008-05-28,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",12396.542857311912,1785.0,1526.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",21.0,19.6239,13761.0,12859.698558322412,8060202590013.0,2521395.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,A,0.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
18,2009-08-12,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",14342.51610050915,1544.0,1359.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",22.0,20.3812,16188.0,14997.2038263429,9090902640016.0,2850368.0,PRO-ASP,HSL,赤柱,1988/04,1988.0,38.0,C,2.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
19,2011-01-25,"BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",11399.910223476363,1423.0,1187.0,"{'bay_window': '', 'flat_roof': '', 'roof': '', 'ac_platform': '', 'plant_room': '', 'garden': '', 'yard': ''}",19.98,18.2968,16832.0,15414.321819713565,11021701800030.0,3390448.0,ASP,HSL,赤柱,1988/04,1988.0,38.0,D,1.0,blank,blank,blank,,True,POINT Z (22.2212998 114.213578 0),22.2212998,114.213578
